Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C2, C4, C5, C6, C7, C8, C9",402,9,100n,C60474
"C10, C12, C13, C3",402,4,1u,C14445
C11,603,1,10u,C19702
"C14, C15",402,2,22p,C106203
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D9",D_SOD-123,83,D_Small,C83528
F1,1206,1,Fuse_Small,C83798
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C2765186
J3,SSD1306-0.91-OLED-4pin-128x32,1,SSD1306,
J4,PinHeader_1x05_P2.54mm_Vertical,1,Debug,
"MX1, MX10, MX11, MX12, MX13, MX14, MX15, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX32, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX42, MX43, MX44, MX45, MX46, MX47, MX48, MX49, MX5, MX50, MX51, MX52, MX53, MX54, MX55, MX56, MX57, MX58, MX59, MX6, MX60, MX61, MX62, MX63, MX64, MX65, MX66, MX67, MX68, MX69, MX7, MX70, MX71, MX73, MX74, MX75, MX76, MX78, MX79, MX8, MX80, MX81, MX82, MX83, MX9",SW_MX_1u,80,MX_SW_solder,
MX16,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,
"MX72, MX77",SW_MX_1.75u,2,MX_SW_solder,
P1,Connector_Mini-DIN_Female_6Pin_2rows,1,Mini-DIN_6pins,C7428703
"Q1, Q2",SOT-23,2,BSS138,C52895
"R1, R10, R12, R13, R2, R7, R8, R9",402,8,5k1,C105872
"R11, R6",402,2,1k,C106235
"R3, R4",402,2,27,C138021
R5,402,1,5.1k,C105872
SW1,SW_SPST_TL3342,1,BOOTSEL,C318884
SW2,SW_SPST_TL3342,1,RST,C318884
SW3,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,Mode Sel,C221530
U1,SOT-23-3,1,XC6206PxxxMR,C5446
"U2, U6",SOT-23-6-routable,2,SRV05-4,C151305
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,1,RP2040,C2040
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
