Designator,Mid X,Mid Y,Rotation,Layer
C1,369.650002,-67.044784,90.0,bottom
C10,364.950002,-68.744784,90.0,bottom
C11,361.675002,-59.724784,0.0,bottom
C12,357.850002,-50.624784,180.0,bottom
C13,361.150002,-54.004784,90.0,bottom
C14,370.710591,-85.964195,135.0,bottom
C15,366.910591,-86.285373,45.0,bottom
C16,371.270002,-59.424784,0.0,bottom
C2,364.710591,-81.564195,315.0,bottom
C3,366.250002,-68.724784,90.0,bottom
C4,368.650002,-67.044784,90.0,bottom
C5,362.88,-64.4,180.0,bottom
C6,359.260589,-75.360589,45.0,bottom
C7,362.970002,-71.524784,0.0,bottom
C8,374.439411,-69.460589,135.0,bottom
C9,365.910591,-81.964195,315.0,bottom
D1,43.899999,-44.9,90.0,bottom
D10,243.924999,-44.9,90.0,bottom
D11,262.974999,-44.9,90.0,bottom
D12,282.024999,-44.9,90.0,bottom
D13,301.074999,-44.9,90.0,bottom
D14,339.174999,-44.9,90.0,bottom
D15,358.224999,-44.9,90.0,bottom
D16,371.8,-44.85,90.0,bottom
D17,43.899999,-68.7125,90.0,bottom
D18,62.949999,-68.7125,90.0,bottom
D19,81.999999,-68.7125,90.0,bottom
D2,81.999999,-44.9,90.0,bottom
D20,101.049999,-68.7125,90.0,bottom
D21,120.099999,-68.7125,90.0,bottom
D22,139.149999,-68.7125,90.0,bottom
D23,162.962499,-68.7125,90.0,bottom
D24,182.012499,-68.7125,90.0,bottom
D25,201.062499,-68.7125,90.0,bottom
D26,220.112499,-68.7125,90.0,bottom
D27,243.924999,-68.7125,90.0,bottom
D28,262.974999,-68.7125,90.0,bottom
D29,282.024999,-68.7125,90.0,bottom
D3,101.049999,-44.9,90.0,bottom
D30,301.074999,-68.7125,90.0,bottom
D31,320.124999,-68.7125,90.0,bottom
D32,339.174999,-68.7125,90.0,bottom
D33,358.224999,-68.7125,90.0,bottom
D34,43.899999,-87.7625,90.0,bottom
D35,62.949999,-87.7625,90.0,bottom
D36,81.999999,-87.7625,90.0,bottom
D37,101.049999,-87.7625,90.0,bottom
D38,120.099999,-87.7625,90.0,bottom
D39,139.149999,-87.7625,90.0,bottom
D4,120.099999,-44.9,90.0,bottom
D40,162.962499,-87.7625,90.0,bottom
D41,182.012499,-87.7625,90.0,bottom
D42,201.062499,-87.7625,90.0,bottom
D43,220.112499,-87.7625,90.0,bottom
D44,243.924999,-87.7625,90.0,bottom
D45,262.974999,-87.7625,90.0,bottom
D46,282.024999,-87.7625,90.0,bottom
D47,301.074999,-87.7625,90.0,bottom
D48,320.124999,-87.7625,90.0,bottom
D49,339.174999,-87.7625,90.0,bottom
D5,139.149999,-44.9,90.0,bottom
D50,358.224999,-87.7625,90.0,bottom
D51,43.899999,-106.8125,90.0,bottom
D52,62.949999,-106.8125,90.0,bottom
D53,81.999999,-106.8125,90.0,bottom
D54,101.049999,-106.8125,90.0,bottom
D55,120.099999,-106.8125,90.0,bottom
D56,139.149999,-106.8125,90.0,bottom
D57,162.962499,-106.8125,90.0,bottom
D58,182.012499,-106.8125,90.0,bottom
D59,201.062499,-106.8125,90.0,bottom
D6,162.962499,-44.9,90.0,bottom
D60,220.112499,-106.8125,90.0,bottom
D61,243.924999,-106.8125,90.0,bottom
D62,262.974999,-106.8125,90.0,bottom
D63,282.024999,-106.8125,90.0,bottom
D64,301.074999,-106.8125,90.0,bottom
D65,320.124999,-106.8125,90.0,bottom
D66,339.174999,-106.8125,90.0,bottom
D67,362.987499,-111.575,90.0,bottom
D68,43.899999,-125.8625,90.0,bottom
D69,62.949999,-125.8625,90.0,bottom
D7,182.012499,-44.9,90.0,bottom
D70,81.999999,-125.8625,90.0,bottom
D71,101.049999,-125.8625,90.0,bottom
D72,132.006249,-125.8625,90.0,bottom
D73,162.962499,-125.8625,90.0,bottom
D74,182.012499,-125.8625,90.0,bottom
D75,201.062499,-125.8625,90.0,bottom
D76,220.112499,-125.8625,90.0,bottom
D77,251.068749,-125.8625,90.0,bottom
D78,282.024999,-125.8625,90.0,bottom
D79,301.074999,-125.8625,90.0,bottom
D8,201.062499,-44.9,90.0,bottom
D80,320.124999,-125.8625,90.0,bottom
D81,343.937499,-130.625,90.0,bottom
D82,362.987499,-130.625,90.0,bottom
D83,377.0,-130.625,90.0,bottom
D9,220.112499,-44.9,90.0,bottom
F1,309.550002,-40.280001,270.0,bottom
H1,86.1,-58.3,0.0,top
H10,145.399634,-31.8,0.0,top
H11,382.6,-31.8,0.0,top
H12,382.6,-130.2,0.0,top
H13,226.4,-125.4,0.0,top
H14,226.0,-31.8,0.0,top
H2,85.8,-102.0,0.0,top
H3,185.8,-58.290512,0.0,top
H4,185.8,-102.0,0.0,top
H5,285.7,-58.295389,0.0,top
H6,285.8,-102.0,0.0,top
H7,31.8,-31.8,0.0,top
H8,31.8,-125.4,0.0,top
H9,145.4,-125.4,0.0,top
J2,313.930002,-31.45,180.0,bottom
J3,374.235002,-88.999784,270.0,top
J4,383.950002,-106.327284,0.0,bottom
MX1,38.1,-40.21805,180.0,top
MX10,238.125,-40.21805,180.0,top
MX11,257.175,-40.21805,180.0,top
MX12,276.225,-40.21805,180.0,top
MX13,295.275,-40.21805,180.0,top
MX14,333.375,-40.21805,180.0,top
MX15,352.425,-40.21805,180.0,top
MX16,376.25,-37.966036,180.0,top
MX17,38.1,-64.03055,180.0,top
MX18,57.15,-64.03055,180.0,top
MX19,76.2,-64.03055,180.0,top
MX2,76.2,-40.21805,180.0,top
MX20,95.25,-64.03055,180.0,top
MX21,114.3,-64.03055,180.0,top
MX22,133.35,-64.03055,180.0,top
MX23,157.1625,-64.03055,180.0,top
MX24,176.2125,-64.03055,180.0,top
MX25,195.2625,-64.03055,180.0,top
MX26,214.3125,-64.03055,180.0,top
MX27,238.125,-64.03055,180.0,top
MX28,257.175,-64.03055,180.0,top
MX29,276.225,-64.03055,180.0,top
MX3,95.25,-40.21805,180.0,top
MX30,295.275,-64.03055,180.0,top
MX31,314.325,-64.03055,180.0,top
MX32,333.375,-64.03055,180.0,top
MX33,352.425,-64.03055,180.0,top
MX34,38.1,-83.08055,180.0,top
MX35,57.15,-83.08055,180.0,top
MX36,76.2,-83.08055,180.0,top
MX37,95.25,-83.08055,180.0,top
MX38,114.3,-83.08055,180.0,top
MX39,133.35,-83.08055,180.0,top
MX4,114.3,-40.21805,180.0,top
MX40,157.1625,-83.08055,180.0,top
MX41,176.2125,-83.08055,180.0,top
MX42,195.2625,-83.08055,180.0,top
MX43,214.3125,-83.08055,180.0,top
MX44,238.125,-83.08055,180.0,top
MX45,257.175,-83.08055,180.0,top
MX46,276.225,-83.08055,180.0,top
MX47,295.275,-83.08055,180.0,top
MX48,314.325,-83.08055,180.0,top
MX49,333.375,-83.08055,180.0,top
MX5,133.35,-40.21805,180.0,top
MX50,352.425,-83.08055,180.0,top
MX51,38.1,-102.13055,180.0,top
MX52,57.15,-102.13055,180.0,top
MX53,76.2,-102.13055,180.0,top
